,r_pick1,r_pick2,r_pick3,r_pick4,r_pick5,d_pick5,d_pick4,d_pick3,d_pick2,d_pick1,r_ban7,r_ban6,r_ban5,r_ban4,r_ban3,r_ban2,r_ban1,d_ban7,d_ban6,d_ban5,d_ban4,d_ban3,d_ban2,d_ban1,match,tournament
0,Undying,Drow Ranger,Batrider,Beastmaster,Ember Spirit,Meepo,Lich,Mars,Snapfire,Rubick,Faceless Void,Slark,Templar Assassin,Clockwerk,Bloodseeker,Dark Seer,Timbersaw,Pangolier,Death Prophet,Storm Spirit,Visage,Lycan,Chen,Broodmother,TSM vs Beastcoast,Riyadh Masters 2023 
1,Chen,Terrorblade,Storm Spirit,Nyx Assassin,Venomancer,Slark,Underlord,Batrider,Leshrac,Io,Naga Siren,Phantom Lancer,Dark Seer,Primal Beast,Doom,Undying,Broodmother,Snapfire,Pangolier,Mars,Rubick,Ember Spirit,Medusa,Timbersaw,TSM vs Beastcoast,Riyadh Masters 2023 
2,Chen,Templar Assassin,Tidehunter,Lion,Death Prophet,Windranger,Slark,Crystal Maiden,Elder Titan,Enigma,Tinker,Snapfire,Terrorblade,Naga Siren,Phantom Lancer,Io,Dark Seer,Timbersaw,Invoker,Pangolier,Beastmaster,Rubick,Broodmother,Undying,Entity vs OG,Riyadh Masters 2023 
3,Rubick,Naga Siren,Keeper of the Light,Puck,Spirit Breaker,Disruptor,Bloodseeker,Windranger,Invoker,Clockwerk,Primal Beast,Tidehunter,Legion Commander,Lion,Beastmaster,Undying,Timbersaw,Necrophos,Venomancer,Snapfire,Ember Spirit,Broodmother,Enigma,Dark Seer,Entity vs OG,Riyadh Masters 2023 
4,Undying,Tiny,Keeper of the Light,Doom,Morphling,Axe,Terrorblade,Chen,Skywrath Mage,Storm Spirit,Underlord,Dark Seer,Faceless Void,Lycan,Beastmaster,Rubick,Broodmother,Naga Siren,Phantom Lancer,Medusa,Drow Ranger,Lion,Enigma,Snapfire,9Pandas vs Virtus.pro,Riyadh Masters 2023 
5,Chen,Medusa,Keeper of the Light,Tiny,Tidehunter,Juggernaut,Shadow Demon,Pangolier,Visage,Doom,Naga Siren,Terrorblade,Tinker,Windranger,Anti-Mage,Clinkz,Broodmother,Lycan,Timbersaw,Ember Spirit,Rubick,Beastmaster,Undying,Enigma,9Pandas vs Virtus.pro,Riyadh Masters 2023 
6,Undying,Terrorblade,Skywrath Mage,Mars,Void Spirit,Nature's Prophet,Pugna,Doom,Windranger,Enigma,Phantom Lancer,Naga Siren,Primal Beast,Batrider,Storm Spirit,Pangolier,Broodmother,Puck,Tiny,Ember Spirit,Shadow Demon,Beastmaster,Rubick,Snapfire,9Pandas vs Virtus.pro,Riyadh Masters 2023 
7,Snapfire,Bloodseeker,Venomancer,Dark Seer,Tiny,Batrider,Faceless Void,Elder Titan,Lion,Beastmaster,Puck,Ember Spirit,Juggernaut,Shadow Demon,Medusa,Rubick,Clockwerk,Storm Spirit,Monkey King,Tidehunter,Primal Beast,Timbersaw,Enigma,Chen,Team Secret vs Execration,Riyadh Masters 2023 
8,Rubick,Broodmother,Elder Titan,Puck,Bloodseeker,Earthshaker,Spirit Breaker,Snapfire,Naga Siren,Enigma,Ember Spirit,Dragon Knight,Mars,Tidehunter,Timbersaw,Primal Beast,Chen,Morphling,Alchemist,Legion Commander,Medusa,Dark Seer,Beastmaster,Clockwerk,Team Secret vs Execration,Riyadh Masters 2023 
9,Snapfire,Bloodseeker,Timbersaw,Crystal Maiden,Batrider,Monkey King,Templar Assassin,Jakiro,Dark Seer,Rubick,Storm Spirit,Ember Spirit,Elder Titan,Faceless Void,Medusa,Beastmaster,Clockwerk,Death Prophet,Meepo,Oracle,Primal Beast,Enchantress,Enigma,Chen,Team Secret vs Execration,Riyadh Masters 2023 
10,Undying,Dark Seer,Lion,Primal Beast,Phantom Lancer,Beastmaster,Lifestealer,Enchantress,Snapfire,Batrider,Timbersaw,Ember Spirit,Bloodseeker,Morphling,Faceless Void,Enigma,Storm Spirit,Slark,Medusa,Terrorblade,Tiny,Spirit Breaker,Naga Siren,Rubick,Quest Esports vs Talon Esports,Riyadh Masters 2023 
11,Shadow Demon,Primal Beast,Mirana,Terrorblade,Mars,Tidehunter,Lycan,Undying,Clockwerk,Snapfire,Timbersaw,Faceless Void,Morphling,Silencer,Enigma,Batrider,Storm Spirit,Underlord,Pangolier,Templar Assassin,Medusa,Naga Siren,Dark Seer,Rubick,Quest Esports vs Talon Esports,Riyadh Masters 2023 
